"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"F114","3/28/09",2009,"Emergence","N/A",499887,3592897,191,NA
"F114","3/25/10",2010,"Emergence","15:57:00",499808,3592921,104,NA
"F114","4/5/10",2010,"Emergence","14:59:00",499890,3592782,161,NA
"F114","3/25/11",2011,"Emergence","15:38:00",499806,3592889,91,NA
"F114","2/29/12",2012,"Emergence","12:15:00",499806,3592888,90,NA
"F114","3/10/12",2012,"Emergence","9:49:00",499806,3592888,0,NA
"F114","3/13/12",2012,"Emergence","12:50:00",499863,3592911,61,NA
"F114","3/22/12",2012,"Emergence","12:20:00",499846,3592943,36,NA
"F114","3/27/12",2012,"Emergence","15:45:00",499752,3592971,98,NA
"F114","3/10/13",2013,"Emergence","11:56:00",499815,3592898,89,NA
"F114","3/21/13",2013,"Emergence","12:17:00",499852,3592880,41,NA
"F114","3/22/13",2013,"Emergence","10:06:00",499849,3592922,42,NA
