LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F135,female,8/3/08,2008,Monsoon,7:45:00,501488,3592019,NA,NA
F135,female,8/4/08,2008,Monsoon,21:40:00,501419,3591978,80,NA
F135,female,8/11/08,2008,Monsoon,22:45:00,501410,3592081,103,NA
F135,female,8/12/08,2008,Monsoon,21:58:00,501417,3592116,36,NA
F135,female,8/25/08,2008,Monsoon,21:09:00,501419,3592114,3,NA
F135,female,8/29/08,2008,Monsoon,20:20:00,501410,3592076,39,NA
F135,female,9/5/08,2008,Monsoon,20:32:00,501474,3592109,72,NA
F135,female,9/11/08,2008,Monsoon,7:36:00,501478,3592108,4,NA
F135,female,9/18/08,2008,Monsoon,18:51:00,501343,3592002,172,NA
F135,female,9/24/08,2008,Monsoon,18:35:00,501365,3592074,75,NA
F135,female,9/29/08,2008,Monsoon,9:19:00,501437,3592046,77,NA
F135,female,10/5/08,2008,Post_Monsoon,6:59:00,501437,3592043,3,NA
F135,female,10/10/08,2008,Post_Monsoon,15:00:00,501439,3592142,99,NA
F135,female,10/17/08,2008,Post_Monsoon,12:37:00,501431,3592150,11,NA
F135,female,10/24/08,2008,Post_Monsoon,14:20:00,501437,3592139,13,NA
F135,female,11/8/08,2008,Post_Monsoon,11:55:00,501307,3592444,332,NA
