LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F135,female,8/3/08,2008,Monsoon,7:45:00,501488,3592019,NA,NA
F135,female,8/4/08,2008,Monsoon,21:40:00,501419,3591978,80,NA
F135,female,8/11/08,2008,Monsoon,22:45:00,501410,3592081,103,NA
F135,female,8/12/08,2008,Monsoon,21:58:00,501417,3592116,36,NA
F135,female,8/25/08,2008,Monsoon,21:09:00,501419,3592114,3,NA
F135,female,8/29/08,2008,Monsoon,20:20:00,501410,3592076,39,NA
F135,female,9/5/08,2008,Monsoon,20:32:00,501474,3592109,72,NA
F135,female,9/11/08,2008,Monsoon,7:36:00,501478,3592108,4,NA
F135,female,9/18/08,2008,Monsoon,18:51:00,501343,3592002,172,NA
F135,female,9/24/08,2008,Monsoon,18:35:00,501365,3592074,75,NA
F135,female,9/29/08,2008,Monsoon,9:19:00,501437,3592046,77,NA
F135,female,10/5/08,2008,Post_Monsoon,6:59:00,501437,3592043,3,NA
F135,female,10/10/08,2008,Post_Monsoon,15:00:00,501439,3592142,99,NA
F135,female,10/17/08,2008,Post_Monsoon,12:37:00,501431,3592150,11,NA
F135,female,10/24/08,2008,Post_Monsoon,14:20:00,501437,3592139,13,NA
F135,female,11/8/08,2008,Post_Monsoon,11:55:00,501307,3592444,332,NA
F135,female,4/10/09,2009,Dry,1201,501431,3592151,318,NA
F135,female,4/13/09,2009,Dry,1654,501493,3592129,66,NA
F135,female,4/16/09,2009,Dry,1145,501320,3591984,226,NA
F135,female,4/17/09,2009,Dry,1055,501320,3591984,0,NA
F135,female,4/18/09,2009,Dry,1306,501298,3592068,87,NA
F135,female,4/27/09,2009,Dry,1500,501430,3592155,158,NA
F135,female,4/30/09,2009,Dry,1515,501522,3592039,148,NA
F135,female,5/11/09,2009,Dry,1053,501522,3592039,0,NA
F135,female,5/12/09,2009,Dry,1010,501522,3592039,0,NA
F135,female,5/13/09,2009,Dry,700,501522,3592039,0,NA
F135,female,5/14/09,2009,Dry,1001,501522,3592039,0,NA
F135,female,5/18/09,2009,Dry,1147,501501,3592016,31,NA
F135,female,5/19/09,2009,Dry,853,501501,3592016,0,NA
F135,female,5/20/09,2009,Dry,720,501501,3592016,0,NA
F135,female,5/22/09,2009,Dry,928,501501,3592016,0,NA
F135,female,5/23/09,2009,Dry,809,501501,3592016,0,NA
F135,female,5/25/09,2009,Dry,945,501499,3592013,4,NA
F135,female,5/25/09,2009,Dry,818,501501,3592016,0,NA
F135,female,6/3/09,2009,Dry,1705,501452,3592174,168,NA
F135,female,6/8/09,2009,Dry,1000,501443,3591953,221,NA
F135,female,6/8/09,2009,Dry,1342,501443,3591957,4,NA
F135,female,6/9/09,2009,Dry,758,501443,3591957,0,NA
F135,female,6/9/09,2009,Dry,2155,501445,3591992,35,NA
F135,female,6/17/09,2009,Dry,902,501300,3592150,214,NA
F135,female,6/26/09,2009,Dry,1731,501474,3592108,179,NA
F135,female,7/4/09,2009,Monsoon,7:02:00,501358,3592172,132,NA
F135,female,7/9/09,2009,Monsoon,1942,501291,3592055,135,NA
F135,female,7/10/09,2009,Monsoon,1900,501291,3592055,0,NA
F135,female,7/11/09,2009,Monsoon,41,501270,3592026,36,NA
F135,female,7/27/09,2009,Monsoon,21:09:00,501424,3591857,229,NA
F135,female,7/28/09,2009,Monsoon,20:47:00,501410,3591891,37,NA
F135,female,7/28/09,2009,Monsoon,23:01:00,501417,3591877,16,NA
F135,female,7/29/09,2009,Monsoon,19:55:00,501403,3591969,93,NA
F135,female,8/1/09,2009,Monsoon,2250,501223,3592020,187,NA
F135,female,8/2/09,2009,Monsoon,2202,501223,3592020,0,NA
F135,female,8/4/09,2009,Monsoon,2043,501295,3591986,80,NA
F135,female,8/5/09,2009,Monsoon,0:10:00,501324,3591977,30,NA
F135,female,8/10/09,2009,Monsoon,0:00:00,501299,3591984,26,NA
F135,female,8/10/09,2009,Monsoon,23:32:00,501303,3591990,7,NA
F135,female,8/11/09,2009,Monsoon,647,501295,3591986,9,NA
F135,female,8/13/09,2009,Monsoon,23:51:00,501487,3592162,260,NA
F135,female,8/19/09,2009,Monsoon,23:01:00,501309,3591970,262,NA
F135,female,8/25/09,2009,Monsoon,23:09:00,501388,3592106,157,NA
F135,female,8/27/09,2009,Monsoon,21:57:00,501341,3592002,114,NA
F135,female,8/29/09,2009,Monsoon,1:01:00,501411,3591887,135,NA
F135,female,9/1/09,2009,Monsoon,2125,501310,3592180,310,NA
F135,female,9/3/09,2009,Monsoon,2155,501310,3592180,0,NA
F135,female,9/4/09,2009,Monsoon,1820,501310,3592180,0,NA
F135,female,9/5/09,2009,Monsoon,1334,501310,3592180,0,NA
F135,female,9/6/09,2009,Monsoon,1513,501310,3592180,0,NA
F135,female,9/6/09,2009,Monsoon,1:47:00,501306,3592185,6,NA
F135,female,9/7/09,2009,Monsoon,1738,501310,3592180,6,NA
F135,female,9/9/09,2009,Monsoon,10:04:00,501313,3592181,3,NA
F135,female,9/11/09,2009,Monsoon,2220,501310,3592180,3,NA
F135,female,9/14/09,2009,Monsoon,21:14:00,501354,3592188,45,NA
F135,female,9/15/09,2009,Monsoon,22:08:00,501354,3592186,2,NA
F135,female,9/20/09,2009,Monsoon,906,501310,3592180,44,NA
F135,female,9/22/09,2009,Monsoon,22:01:00,501311,3592181,1,NA
F135,female,9/24/09,2009,Monsoon,10:15:00,501311,3592181,0,NA
F135,female,9/27/09,2009,Monsoon,10:45:00,501311,3592181,0,NA
F135,female,9/29/09,2009,Monsoon,21:36:00,501311,3592181,0,NA
F135,female,9/30/09,2009,Monsoon,19:58:00,501311,3592181,0,NA
