LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F146,female,4/9/09,2009,Dry,1215,500845,3592448,236,NA
F146,female,4/16/09,2009,Dry,1243,501089,3592503,250,NA
F146,female,4/23/09,2009,Dry,1425,500845,3592666,293,NA
F146,female,4/30/09,2009,Dry,820,500924,3592623,90,NA
F146,female,5/11/09,2009,Dry,1129,501049,3592519,163,NA
F146,female,5/12/09,2009,Dry,1207,500867,3592623,210,NA
F146,female,5/12/09,2009,Dry,1842,500846,3592613,23,NA
F146,female,5/19/09,2009,Dry,1216,501049,3592623,203,NA
F146,female,5/25/09,2009,Dry,1446,500796,3592667,257,NA
F146,female,6/4/09,2009,Dry,1158,501100,3592543,328,NA
F146,female,6/8/09,2009,Dry,1142,500841,3592647,279,NA
F146,female,6/9/09,2009,Dry,922,501105,3592544,283,NA
F146,female,6/10/09,2009,Dry,1100,500735,3592639,382,NA
F146,female,6/17/09,2009,Dry,1210,500978,3592373,360,NA
F146,female,6/26/09,2009,Dry,1452,501045,3592341,74,NA
F146,female,4/24/10,2010,Dry,16:14:00,500745,3592822,550,NA
F146,female,5/6/10,2010,Dry,16:23:00,500735,3592788,35,NA
F146,female,5/14/10,2010,Dry,15:25:00,500854,3592654,179,NA
F146,female,6/4/10,2010,Dry,9:01:00,500970,3592578,139,NA
F146,female,6/16/10,2010,Dry,22:50:00,500833,3592709,190,NA
F146,female,6/21/10,2010,Dry,21:14:00,500873,3592675,52,NA
F146,female,6/25/10,2010,Dry,8:17:00,500877,3592649,26,NA
