LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F147,female,3/27/10,2010,Emergence,18:02:00,501613,3592509,28,NA
F147,female,4/5/10,2010,Emergence,18:36:00,501246,3592413,379,NA
F147,female,4/9/10,2010,Emergence,17:38:00,501585,3592488,347,NA
F147,female,2/26/11,2011,Emergence,14:44:00,501302,3592459,0,NA
F147,female,3/25/11,2011,Emergence,18:50:00,501639,3592334,359,NA
F147,female,2/29/12,2012,Emergence,15:52:00,501251,3592441,84,NA
F147,female,3/10/12,2012,Emergence,13:47:53,501251,3592441,0,NA
F147,female,3/14/12,2012,Emergence,11:48:14,501252,3592411,30,NA
F147,female,3/22/12,2012,Emergence,16:22:00,501416,3592414,164,NA
F147,female,3/30/12,2012,Emergence,14:12:00,501627,3592315,233,NA
F147,female,2/7/13,2013,Emergence,14:56:00,501270,3592391,4,NA
F147,female,2/21/13,2013,Emergence,14:49:00,501270,3592355,36,NA
F147,female,3/10/13,2013,Emergence,13:48:00,501270,3592355,0,NA
F147,female,3/21/13,2013,Emergence,14:40:00,501424,3592335,155,NA
