"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F214",2011,10:59:00,502767,3592186
"F214",2011,13:50:00,502690,3592131
"F214",2011,17:05:00,502720,3592108
"F214",2011,09:58:00,502736,3592159
"F214",2011,15:24:00,502693,3592212
"F214",2011,16:25:00,502800,3592233
"F214",2011,12:43:00,502739,3592147
"F214",2011,16:22:00,502614,3592139
"F214",2011,12:52:00,502734,3591973
"F214",2011,12:21:00,502913,3592172
"F214",2011,11:34:00,502913,3592172
"F214",2011,10:17:00,503008,3592258
"F214",2011,14:19:00,502571,3591973
"F214",2011,09:51:00,502575,3591969
"F214",2011,10:06:00,502577,3591972
"F214",2011,19:49:00,502576,3591971
"F214",2011,19:13:00,502575,3591972
"F214",2011,10:14:00,502575,3591972
"F214",2011,20:02:00,502553,3591976
"F214",2011,14:41:00,502595,3592098
"F214",2011,12:15:00,502653,3592115
"F214",2011,13:23:00,502657,3592116
