LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F252,female,8/15/11,2011,Monsoon,8:52:00,502226,3591492,NA,NA
F252,female,8/15/11,2011,Monsoon,17:05:00,502226,3591486,6,NA
F252,female,8/16/11,2011,Monsoon,15:39:00,502225,3591497,11,NA
F252,female,8/20/11,2011,Monsoon,20:45:00,502250,3591477,32,NA
F252,female,8/23/11,2011,Monsoon,18:26:00,502250,3591477,0,NA
F252,female,8/25/11,2011,Monsoon,19:59:00,502227,3591497,30,NA
F252,female,9/1/11,2011,Monsoon,17:55:00,502105,3591510,123,NA
F252,female,9/5/11,2011,Monsoon,10:43:00,502401,3591494,296,NA
F252,female,9/13/11,2011,Monsoon,18:59:00,502227,3591470,176,NA
F252,female,9/22/11,2011,Monsoon,21:38:00,502236,3591506,37,NA
F252,female,7/5/12,2012,Monsoon,16:24:00,502166,3591655,0,NA
F252,female,7/10/12,2012,Monsoon,10:59:00,502169,3591653,4,NA
F252,female,7/12/12,2012,Monsoon,12:28:00,502165,3591651,4,NA
F252,female,7/16/12,2012,Monsoon,12:31:00,502164,3591653,2,NA
F252,female,7/18/12,2012,Monsoon,6:01:00,502165,3591651,2,NA
F252,female,7/20/12,2012,Monsoon,19:04:00,502164,3591654,3,NA
F252,female,7/23/12,2012,Monsoon,14:10:00,502157,3591624,31,NA
F252,female,7/25/12,2012,Monsoon,13:27:00,502179,3591658,40,NA
F252,female,7/27/12,2012,Monsoon,11:18:00,502176,3591662,5,NA
F252,female,7/30/12,2012,Monsoon,20:05:00,502176,3591651,11,NA
F252,female,8/1/12,2012,Monsoon,9:12:00,502190,3591589,64,NA
F252,female,8/3/12,2012,Monsoon,10:02:00,502201,3591627,40,NA
F252,female,8/6/12,2012,Monsoon,9:11:00,502207,3591625,6,NA
F252,female,8/10/12,2012,Monsoon,13:08:00,502073,3591455,216,NA
F252,female,8/15/12,2012,Monsoon,8:10:00,502073,3591453,2,NA
F252,female,8/17/12,2012,Monsoon,10:04:00,502124,3591468,53,NA
F252,female,9/2/12,2012,Monsoon,8:53:00,502251,3591364,164,NA
F252,female,9/7/12,2012,Monsoon,12:31:00,502087,3591363,164,NA
F252,female,9/26/12,2012,Monsoon,17:07:00,502032,3591385,NA,NA
F252,female,9/29/12,2012,Monsoon,22:44:00,502014,3591390,19,NA
