LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F36,female,11/22/09,2009,Winter,14:37:00,500375,3592909,4,NA
F36,female,12/13/09,2009,Winter,11:50:00,500375,3592909,0,NA
F36,female,1/2/11,2011,Winter,14:04:00,500376,3592910,0,NA
F36,female,11/27/11,2011,Winter,13:21:00,500412,3592891,4,NA
F36,female,12/5/11,2011,Winter,11:15:00,500412,3592891,0,NA
F36,female,12/27/11,2011,Winter,10:00:00,500412,3592891,0,NA
F36,female,1/17/12,2012,Winter,16:20:00,500408,3592886,6,NA
F36,female,1/24/12,2012,Winter,13:30:00,500408,3592886,0,NA
F36,female,2/1/12,2012,Winter,12:26:00,500408,3592886,0,NA
F36,female,2/17/12,2012,Winter,13:09:00,500408,3592886,0,NA
F36,female,12/8/12,2012,Winter,14:24:00,500413,3592886,4,NA
F36,female,12/17/12,2012,Winter,11:58:00,500413,3592886,0,NA
F36,female,12/21/12,2012,Winter,10:55:00,500411,3592885,2,NA
F36,female,12/28/12,2012,Winter,11:59:00,500411,3592885,0,NA
F36,female,1/10/13,2013,Winter,14:29:00,500416,3592885,5,NA
F36,female,1/25/13,2013,Winter,12:15:00,500416,3592885,0,NA
