"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F36",2012,16:20:00,500408,3592886
"F36",2012,13:30:00,500408,3592886
"F36",2012,12:26:00,500408,3592886
"F36",2012,13:09:00,500408,3592886
"F36",2012,13:34:00,500413,3592885
"F36",2012,11:34:00,500383,3592870
"F36",2012,15:08:00,500385,3592870
"F36",2012,13:20:00,500464,3592818
"F36",2012,15:11:00,500359,3592578
"F36",2012,13:01:00,500392,3592570
"F36",2012,19:04:00,500269,3592397
"F36",2012,10:19:00,500244,3592467
"F36",2012,09:34:00,500367,3592544
"F36",2012,20:35:00,500396,3592480
"F36",2012,06:58:00,500396,3592480
"F36",2012,08:03:00,500401,3592570
"F36",2012,10:09:00,500401,3592570
"F36",2012,09:43:00,500490,3592603
"F36",2012,13:29:00,500488,3592604
"F36",2012,11:24:00,500488,3592604
"F36",2012,10:50:00,500488,3592604
"F36",2012,12:06:00,500487,3592603
"F36",2012,13:46:00,500395,3592463
"F36",2012,10:01:00,500490,3592601
"F36",2012,09:41:00,500487,3592603
"F36",2012,12:03:00,500388,3592496
"F36",2012,08:41:00,500475,3592712
"F36",2012,20:38:00,500219,3592570
"F36",2012,15:27:00,500287,3592430
"F36",2012,11:27:00,500393,3592538
"F36",2012,09:37:00,500269,3592402
"F36",2012,20:13:00,500403,3592508
"F36",2012,08:59:00,500246,3592556
"F36",2012,09:49:00,500368,3592418
"F36",2012,17:37:00,500203,3592602
"F36",2012,08:33:00,500490,3592603
"F36",2012,09:44:00,500488,3592600
"F36",2012,13:05:00,500488,3592600
"F36",2012,18:11:00,500266,3592399
"F36",2012,15:01:00,500268,3592404
"F36",2012,12:05:00,500268,3592546
"F36",2012,20:57:00,500566,3592617
"F36",2012,17:19:00,500576,3592633
"F36",2012,15:11:00,500556,3592694
"F36",2012,17:32:00,500406,3592869
"F36",2012,10:16:00,500406,3592869
"F36",2012,11:35:00,500406,3592869
"F36",2012,17:16:00,500411,3592883
"F36",2012,14:24:00,500413,3592886
"F36",2012,11:58:00,500413,3592886
"F36",2012,10:55:00,500411,3592885
"F36",2012,11:59:00,500411,3592885
