LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F66,female,10/4/08,2008,Post_Monsoon,16:41:00,500933,3592648,3,NA
F66,female,10/10/08,2008,Post_Monsoon,10:47:00,500933,3592647,1,NA
F66,female,10/17/08,2008,Post_Monsoon,16:18:00,500985,3592582,83,NA
F66,female,10/23/08,2008,Post_Monsoon,15:54:00,500985,3592582,0,NA
F66,female,11/8/08,2008,Post_Monsoon,13:57:00,500972,3592615,35,NA
F66,female,10/6/09,2009,Post_Monsoon,18:24:00,501056,3592572,4,NA
F66,female,10/10/09,2009,Post_Monsoon,15:39:00,501054,3592574,3,NA
F66,female,10/18/09,2009,Post_Monsoon,18:22:00,501013,3592532,59,NA
F66,female,10/25/09,2009,Post_Monsoon,13:41:00,501013,3592532,0,NA
F66,female,10/31/09,2009,Post_Monsoon,11:35:00,501013,3592519,13,NA
F66,female,11/8/09,2009,Post_Monsoon,15:05:00,500983,3592582,70,NA
F66,female,11/14/09,2009,Post_Monsoon,1202,501011,3592534,56,NA
F66,female,10/2/10,2010,Post_Monsoon,18:26:00,500950,3592417,55,NA
F66,female,10/8/10,2010,Post_Monsoon,10:03:00,501011,3592528,127,NA
F66,female,10/19/10,2010,Post_Monsoon,15:24:00,501016,3592533,7,NA
F66,female,10/22/10,2010,Post_Monsoon,14:04:00,501016,3592533,0,NA
