"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F66",2007,"0:00",500884,3592322
"F66",2007,"0:00",500884,3592322
"F66",2007,"0:00",500908,3592594
"F66",2007,"0:00",500970,3592386
"F66",2007,"0:00",500864,3592281
"F66",2007,"0:00",500969,3592387
"F66",2007,"0:00",500971,3592388
"F66",2007,"0:00",500971,3592388
"F66",2007,"0:00",500971,3592388
"F66",2007,"0:00",500971,3592388
"F66",2007,"0:00",500971,3592388
"F66",2007,"0:00",501003,3592171
"F66",2007,"0:00",501034,3592183
"F66",2007,"0:00",501034,3592183
"F66",2007,"0:00",501034,3592183
"F66",2007,"0:00",501034,3592183
"F66",2007,"0:00",500850,3592094
"F66",2007,"0:00",501019,3592172
"F66",2007,"0:00",500883,3591881
"F66",2007,"0:00",500869,3592011
"F66",2007,"0:00",500869,3592011
"F66",2007,"0:00",500747,3592178
"F66",2008,"12:39",501088,3592253
"F66",2008,"11:44",501079,3592173
"F66",2008,"8:17",501088,3592253
"F66",2008,"9:32",501088,3592253
"F66",2008,"10:07",501088,3592253
"F66",2008,"10:15",501091,3592147
"F66",2008,"13:30",500901,3592079
"F66",2008,"13:30",500910,3591999
"F66",2008,"11:15",501020,3592172
"F66",2008,"9:53",501058,3592243
"F66",2008,"9:52",501058,3592243
"F66",2008,"20:40",501058,3592243
"F66",2008,"10:30",501058,3592243
"F66",2008,"19:18",501058,3592243
"F66",2008,"19:06",501091,3592246
"F66",2008,"19:33",500878,3592579
"F66",2008,"20:00",500878,3592579
"F66",2008,"20:35",500878,3592579
"F66",2008,"21:12",500878,3592579
"F66",2008,"19:51",500878,3592579
"F66",2008,"20:59",500878,3592579
"F66",2008,"19:02",500878,3592579
"F66",2008,"22:07",500878,3592579
"F66",2008,"20:47",500878,3592583
"F66",2008,"20:58",500877,3592579
"F66",2008,"22:18",500877,3592579
"F66",2008,"20:42",500877,3592579
"F66",2008,"20:41",501073,3592200
"F66",2008,"20:15",501037,3592181
"F66",2008,"7:17",501005,3592171
"F66",2008,"22:24",500908,3592153
"F66",2008,"22:12",500888,3591876
"F66",2008,"7:42",501053,3592242
"F66",2008,"22:50",500901,3592043
"F66",2008,"8:08",500985,3592286
"F66",2008,"10:04",500870,3592268
"F66",2008,"21:52",500949,3591988
"F66",2008,"22:20",501012,3592036
"F66",2008,"20:16",500942,3592129
"F66",2008,"9:35",500901,3592073
"F66",2008,"20:52",500929,3592350
"F66",2008,"9:36",500931,3592063
"F66",2008,"9:03",501058,3592219
"F66",2008,"20:30",501058,3592219
"F66",2008,"9:42",500867,3592592
"F66",2008,"11:24",500936,3592647
"F66",2008,"16:41",500933,3592648
"F66",2008,"10:47",500933,3592647
"F66",2008,"16:18",500985,3592582
"F66",2008,"15:54",500985,3592582
"F66",2008,"13:57",500972,3592615
"F66",2009,"0:00",500920,3592553
"F66",2009,"0:00",500920,3592553
"F66",2009,"0:00",500971,3592408
"F66",2009,"0:00",501088,3592253
"F66",2009,"0:00",501084,3592254
"F66",2009,"0:00",501084,3592254
"F66",2009,"0:00",501084,3592254
"F66",2009,"0:00",501057,3592295
"F66",2009,"0:00",500870,3592391
"F66",2009,"0:00",500870,3592391
"F66",2009,"0:00",500870,3592391
"F66",2009,"0:00",500870,3592391
"F66",2009,"0:00",500862,3592384
"F66",2009,"0:00",501077,3592168
"F66",2009,"0:00",500897,3592050
"F66",2009,"0:00",500902,3592311
"F66",2009,"0:00",500958,3592369
"F66",2009,"0:00",500948,3592352
"F66",2009,"0:00",500948,3592352
"F66",2009,"0:00",500895,3592279
"F66",2009,"0:00",500895,3592279
"F66",2009,"0:00",501015,3592179
"F66",2009,"0:00",501015,3592179
"F66",2009,"0:00",501015,3592179
"F66",2009,"0:00",501015,3592179
"F66",2009,"0:00",501015,3592179
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501023,3592204
"F66",2009,"0:00",501036,3592185
"F66",2009,"20:26",501035,3592185
"F66",2009,"0:00",501034,3592173
