LIZARDNUMBER,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance Moved (m),
F104,5/2/07,2007,Dry,1748,501650,3591775,NA,
F104,5/3/07,2007,Dry,725,501650,3591775,0,
F104,5/6/07,2007,Dry,1936,501561,3591915,166,
F104,5/17/07,2007,Dry,2301,501377,3591812,211,
F104,5/23/07,2007,Dry,2034,501649,3591805,272,
F104,6/1/07,2007,Dry,2136,501411,3591819,238,
F104,6/5/07,2007,Dry,2308,501526,3591932,161,
F104,6/10/07,2007,Dry,1942,501526,3591932,0,
F104,6/12/07,2007,Dry,2013,501526,3591932,0,
F104,6/20/07,2007,Dry,2226,501526,3591932,0,
F104,6/27/07,2007,Dry,2027,501526,3591932,0,
F104,7/3/07,2007,Dry,1922,501526,3591931,1,
F104,7/5/07,2007,Dry,2210,501396,3591904,133,
F104,8/16/07,2007,Monsoon,2254,501409,3591819,86,
F104,8/22/07,2007,Monsoon,2014,501412,3591818,3,
F104,8/28/07,2007,Monsoon,52,501327,3591791,89,
F104,8/29/07,2007,Monsoon,2200,501411,3591819,89,
F104,8/30/07,2007,Monsoon,2120,501327,3591791,89,
F104,4/9/08,2008,Dry,9:11:00,501546,3591826,222,
F104,4/10/08,2008,Dry,15:41:00,501558,3591830,13,
F104,4/16/08,2008,Dry,12:52:00,501680,3591942,166,
F104,4/21/08,2008,Dry,7:19:00,501674,3591941,6,
F104,4/23/08,2008,Dry,8:39:00,501680,3591946,8,
F104,4/24/08,2008,Dry,9:32:00,501679,3591945,1,
F104,4/25/08,2008,Dry,10:41:00,501679,3591945,0,
F104,5/1/08,2008,Dry,14:08:00,501679,3591945,0,
F104,5/2/08,2008,Dry,12:46:00,501679,3591945,0,
F104,5/5/08,2008,Dry,10:45:00,501679,3591945,0,
F104,5/7/08,2008,Dry,9:13:00,501679,3591945,0,
F104,5/8/08,2008,Dry,9:28:00,501679,3591945,0,
F104,5/12/08,2008,Dry,20:13:00,501679,3591945,0,
F104,5/20/08,2008,Dry,10:02:00,501704,3591959,29,
F104,5/21/08,2008,Dry,18:48:00,501740,3591991,48,
F104,5/25/08,2008,Dry,18:18:00,501740,3591991,0,
F104,5/27/08,2008,Dry,19:02:00,501740,3591991,0,
F104,5/28/08,2008,Dry,20:25:00,501740,3591991,0,
F104,6/2/08,2008,Dry,21:03:00,501745,3591991,5,
F104,6/3/08,2008,Dry,20:25:00,501745,3591991,0,
