ID,Interaction,OL,,,,
F36,Female_Female,5.13,,,,
F66,Female_Female,5.05,,,,
F104,Female_Female,0.5,,,,
F135,Female_Female,2.89,,,,
F137,Female_Female,7.91,,,,
F146,Female_Female,4.65,,,,
F147,Female_Female,3.94,,,,
M14,Male_Female,0.14,,,,
M14,Male_Female,3.73,,,,
M67,Male_Female,0.21,,,,
M69,Male_Female,2.6,,,,
M69,Male_Female,2.04,,,,
M69,Male_Female,0.55,,,,
M69,Male_Female,0.76,,,,
M69,Male_Female,4.6,,,,
M112,Male_Female,5.82,,,,
M112,Male_Female,6.49,,,,
M119,Male_Female,19.44,,,,
M215,Male_Female,18.51,,,,
M255,Male_Female,3.45,,,,
M14,Male_Male,0.49,,,,
M69,Male_Male,0.49,,,,
M119,Male_Male,19.47,,,,
M215,Male_Male,19.47,,,,
