LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M112,male,9/5/09,2009,Monsoon,3:48:00,499325,3592340,427,NA
M112,male,9/9/09,2009,Monsoon,7:54:00,499547,3592443,245,NA
M112,male,9/14/09,2009,Monsoon,18:53:00,499547,3592443,0,NA
M112,male,9/22/09,2009,Monsoon,20:48:00,499547,3592443,0,NA
M112,male,9/23/09,2009,Monsoon,18:58:00,499547,3592443,0,NA
M112,male,9/27/09,2009,Monsoon,18:02:00,499547,3592443,0,NA
M112,male,9/29/09,2009,Monsoon,20:15:00,499547,3592443,0,NA
M112,male,9/30/09,2009,Monsoon,18:27:00,499547,3592443,0,NA
M112,male,10/5/09,2009,Post_Monsoon,17:47:00,499580,3592924,482,NA
M112,male,10/11/09,2009,Post_Monsoon,16:09:00,499592,3592960,38,NA
M112,male,10/18/09,2009,Post_Monsoon,16:52:00,499565,3593028,73,NA
M112,male,10/25/09,2009,Post_Monsoon,11:59:00,499534,3592990,49,NA
M112,male,10/31/09,2009,Post_Monsoon,14:21:00,499587,3592943,71,NA
M112,male,11/8/09,2009,Post_Monsoon,13:17:00,499587,3592943,0,NA
M112,male,11/22/09,2009,Post_Monsoon,16:09:00,499534,3592992,72,NA
M112,male,11/29/09,2009,Post_Monsoon,12:43:00,499534,3592992,0,NA
M112,male,12/13/09,2009,Winter,13:24:00,499583,3592949,65,NA
M112,male,12/22/09,2009,Winter,10:40:00,499583,3592949,0,NA
