"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"M119",2010,12:01:00,500412,3592885
"M119",2010,13:44:00,500220,3592658
"M119",2010,11:28:00,500134,3592551
"M119",2010,10:14:00,500178,3592512
"M119",2010,15:44:00,500224,3592892
"M119",2010,13:24:00,500375,3592609
"M119",2010,12:06:00,500155,3592507
"M119",2010,17:10:00,500153,3592561
"M119",2010,16:27:00,500153,3592561
"M119",2010,09:50:00,500160,3592564
"M119",2010,08:16:00,500400,3592463
"M119",2010,21:08:00,500399,3592577
"M119",2010,10:25:00,500236,3592692
"M119",2010,06:52:00,500285,3592425
"M119",2010,22:18:00,500284,3592426
"M119",2010,20:18:00,500398,3592329
"M119",2010,20:27:00,500180,3592362
"M119",2010,22:59:00,500318,3592425
"M119",2010,20:32:00,500180,3592365
"M119",2010,22:14:00,500094,3592381
"M119",2010,01:09:00,500088,3592451
"M119",2010,08:01:00,500088,3592451
"M119",2010,21:26:00,500248,3592425
"M119",2010,00:43:00,500078,3592439
"M119",2010,22:25:00,500125,3592473
"M119",2010,20:28:00,500126,3592471
"M119",2010,00:03:00,500125,3592472
"M119",2010,19:12:00,500128,3592471
"M119",2010,00:09:00,500345,3592425
"M119",2010,22:25:00,500345,3592425
"M119",2010,11:20:00,500519,3592463
