LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M119,male,7/13/08,2008,Monsoon,8:19:00,500114,3592470,228,NA
M119,male,7/15/08,2008,Monsoon,22:49:00,5.00E+05,3592565,148,NA
M119,male,7/17/08,2008,Monsoon,7:05:00,500175,3592516,182,NA
M119,male,7/18/08,2008,Monsoon,8:19:00,500171,3592646,130,NA
M119,male,7/20/08,2008,Monsoon,7:26:00,500304,3592914,299,NA
M119,male,7/21/08,2008,Monsoon,22:04:00,500335,3592836,84,NA
M119,male,7/26/08,2008,Monsoon,7:47:00,500411,3592816,79,NA
M119,male,7/27/08,2008,Monsoon,8:44:00,500313,3592870,112,NA
M119,male,7/28/08,2008,Monsoon,23:02:00,500117,3592511,409,NA
M119,male,7/29/08,2008,Monsoon,18:41:00,500114,3592513,4,NA
M119,male,7/30/08,2008,Monsoon,23:11:00,500114,3592513,0,NA
M119,male,7/31/08,2008,Monsoon,10:15:00,500114,3592513,0,NA
M119,male,7/31/08,2008,Monsoon,21:32:00,500120,3592511,6,NA
M119,male,8/4/08,2008,Monsoon,22:56:00,500184,3592671,172,NA
M119,male,8/22/08,2008,Monsoon,20:05:00,500185,3592749,78,NA
M119,male,8/27/08,2008,Monsoon,8:25:00,500216,3592790,51,NA
M119,male,9/3/08,2008,Monsoon,8:40:00,500372,3592898,190,NA
M119,male,9/11/08,2008,Monsoon,11:15:00,500427,3592834,84,NA
M119,male,9/17/08,2008,Monsoon,19:01:00,500427,3592834,0,NA
M119,male,9/25/08,2008,Monsoon,7:52:00,500427,3592834,0,NA
M119,male,9/27/08,2008,Monsoon,18:31:00,500332,3592948,148,NA
M119,male,7/2/09,2009,Monsoon,22:30:00,500106,3592547,51,NA
M119,male,7/9/09,2009,Monsoon,20:36:00,500126,3592487,63,NA
M119,male,7/10/09,2009,Monsoon,11,500124,3592489,3,NA
M119,male,7/11/09,2009,Monsoon,2020,500124,3592489,0,NA
M119,male,7/12/09,2009,Monsoon,2053,500377,3592470,254,NA
M119,male,7/13/09,2009,Monsoon,55,500377,3592470,0,NA
M119,male,7/13/09,2009,Monsoon,2005,500450,3592341,148,NA
M119,male,7/14/09,2009,Monsoon,2050,500450,3592341,0,NA
M119,male,7/14/09,2009,Monsoon,7:45:00,500456,3592331,12,NA
M119,male,7/25/09,2009,Monsoon,23:10:00,500378,3592462,152,NA
M119,male,8/4/09,2009,Monsoon,1955,500450,3592341,141,NA
M119,male,8/4/09,2009,Monsoon,2150,500395,3592462,133,NA
M119,male,8/11/09,2009,Monsoon,823,500377,3592470,20,NA
M119,male,8/13/09,2009,Monsoon,23:21:00,500280,3592429,105,NA
M119,male,8/16/09,2009,Monsoon,21:54:00,500280,3592429,0,NA
M119,male,8/25/09,2009,Monsoon,20:33:00,500116,3592530,193,NA
M119,male,8/26/09,2009,Monsoon,22:03:00,500116,3592480,50,NA
M119,male,8/27/09,2009,Monsoon,20:33:00,500119,3592482,4,NA
M119,male,8/28/09,2009,Monsoon,23:51:00,500119,3592482,0,NA
M119,male,9/1/09,2009,Monsoon,0:05:00,500157,3592561,88,NA
M119,male,9/2/09,2009,Monsoon,2013,500159,3592560,2,NA
M119,male,9/4/09,2009,Monsoon,1949,500159,3592560,0,NA
M119,male,9/5/09,2009,Monsoon,1355,500159,3592560,0,NA
M119,male,9/6/09,2009,Monsoon,1536,500159,3592560,0,NA
M119,male,9/7/09,2009,Monsoon,1804,500159,3592560,0,NA
M119,male,9/9/09,2009,Monsoon,21:25:00,500157,3592561,2,NA
M119,male,9/11/09,2009,Monsoon,2255,500159,3592560,2,NA
M119,male,9/14/09,2009,Monsoon,20:51:00,500157,3592561,2,NA
M119,male,9/20/09,2009,Monsoon,732,500159,3592560,2,NA
M119,male,9/23/09,2009,Monsoon,21:16:00,500371,3592941,436,NA
M119,male,9/24/09,2009,Monsoon,8:31:00,500371,3592941,0,NA
M119,male,9/29/09,2009,Monsoon,19:19:00,500371,3592941,0,NA
M119,male,9/30/09,2009,Monsoon,20:38:00,500371,3592941,0,NA
M119,male,7/12/10,2010,Monsoon,20:32:00,500180,3592365,150,NA
M119,male,7/15/10,2010,Monsoon,22:14:00,500094,3592381,87,NA
M119,male,7/17/10,2010,Monsoon,1:09:00,500088,3592451,70,NA
M119,male,7/18/10,2010,Monsoon,8:01:00,500088,3592451,0,NA
M119,male,7/19/10,2010,Monsoon,21:26:00,500248,3592425,162,NA
M119,male,7/24/10,2010,Monsoon,0:43:00,500078,3592439,171,NA
M119,male,7/28/10,2010,Monsoon,22:25:00,500125,3592473,58,NA
M119,male,7/29/10,2010,Monsoon,20:28:00,500126,3592471,2,NA
M119,male,8/2/10,2010,Monsoon,0:03:00,500125,3592472,1,NA
M119,male,8/7/10,2010,Monsoon,19:12:00,500128,3592471,3,NA
M119,male,8/27/10,2010,Monsoon,0:09:00,500345,3592425,222,NA
M119,male,9/1/10,2010,Monsoon,22:25:00,500345,3592425,0,NA
M119,male,9/9/10,2010,Monsoon,11:20:00,500519,3592463,178,NA
