LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M215,male,4/4/12,2012,Dry,12:46:00,500399,3592568,305,NA
M215,male,4/26/12,2012,Dry,11:11:00,500392,3592885,317,NA
M215,male,5/4/12,2012,Dry,18:14:00,500185,3592541,401,NA
M215,male,5/11/12,2012,Dry,10:08:00,500418,3592920,445,NA
M215,male,5/23/12,2012,Dry,21:23:00,500235,3592680,302,NA
M215,male,5/26/12,2012,Dry,19:46:00,500230,3592678,5,NA
M215,male,5/29/12,2012,Dry,12:22:00,500598,3592824,396,NA
M215,male,5/30/12,2012,Dry,12:58:00,500516,3592881,100,NA
M215,male,6/6/12,2012,Dry,11:20:00,500324,3592835,197,NA
M215,male,6/14/12,2012,Dry,10:55:00,500377,3592558,282,NA
M215,male,6/22/12,2012,Dry,12:27:00,500291,3592645,122,NA
