LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M255,male,8/15/11,2011,Monsoon,9:34:00,502321,3591579,NA,NA
M255,male,8/16/11,2011,Monsoon,18:41:00,502417,3591450,161,NA
M255,male,8/20/11,2011,Monsoon,21:30:00,502464,3591437,49,NA
M255,male,8/23/11,2011,Monsoon,18:36:00,502474,3591441,11,NA
M255,male,8/25/11,2011,Monsoon,20:25:00,502482,3591442,8,NA
M255,male,9/1/11,2011,Monsoon,17:40:00,502482,3591442,0,NA
M255,male,9/5/11,2011,Monsoon,11:04:00,502606,3591334,164,NA
M255,male,9/13/11,2011,Monsoon,19:22:00,502609,3591360,26,NA
M255,male,9/22/11,2011,Monsoon,21:24:00,502609,3591360,0,NA
M255,male,10/1/11,2011,Post_Monsoon,15:37:00,502473,3591776,438,NA
M255,male,10/11/11,2011,Post_Monsoon,16:32:00,502448,3591769,26,NA
M255,male,10/14/11,2011,Post_Monsoon,18:38:00,502444,3591775,7,NA
M255,male,11/19/11,2011,Post_Monsoon,12:48:00,502480,3591733,55,NA
M255,male,11/27/11,2011,Winter,15:33:00,502478,3591732,2,NA
M255,male,12/6/11,2011,Winter,17:12:00,502478,3591732,0,NA
M255,male,12/27/11,2011,Winter,11:28:00,502478,3591732,0,NA
M255,male,1/17/12,2012,Winter,15:06:00,502478,3591732,0,NA
M255,male,1/24/12,2012,Winter,11:48:00,502444,3591755,41,NA
M255,male,2/1/12,2012,Emergence,10:37:00,502444,3591755,0,NA
M255,male,2/17/12,2012,Emergence,16:28:00,502460,3591745,19,NA
M255,male,2/29/12,2012,Emergence,14:20:00,502108,3591732,352,NA
M255,male,3/10/12,2012,Emergence,15:06:29,502084,3591708,34,NA
M255,male,3/14/12,2012,Emergence,13:38:00,502145,3591769,86,NA
M255,male,3/22/12,2012,Emergence,14:56:00,502178,3591697,79,NA
M255,male,3/27/12,2012,Emergence,13:45:00,502381,3591866,264,NA
M255,male,4/5/12,2012,Dry,9:28:00,502211,3591606,311,NA
M255,male,4/13/12,2012,Dry,16:20:00,502461,3591746,287,NA
M255,male,4/21/12,2012,Dry,11:31:00,502475,3591747,14,NA
M255,male,4/26/12,2012,Dry,10:06:00,502222,3591464,380,NA
