"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"M255",2011,"9:34",502321,3591579
"M255",2011,"18:41",502417,3591450
"M255",2011,"21:30",502464,3591437
"M255",2011,"18:36",502474,3591441
"M255",2011,"20:25",502482,3591442
"M255",2011,"17:40",502482,3591442
"M255",2011,"11:04",502606,3591334
"M255",2011,"19:22",502609,3591360
"M255",2011,"21:24",502609,3591360
"M255",2011,"15:37",502473,3591776
"M255",2011,"16:32",502448,3591769
"M255",2011,"18:38",502444,3591775
"M255",2011,"12:48",502480,3591733
"M255",2011,"15:33",502478,3591732
"M255",2011,"17:12",502478,3591732
"M255",2011,"11:28",502478,3591732
"M255",2012,"15:06",502478,3591732
"M255",2012,"11:48",502444,3591755
"M255",2012,"10:37",502444,3591755
"M255",2012,"16:28",502460,3591745
"M255",2012,"14:20",502108,3591732
"M255",2012,"15:06",502084,3591708
"M255",2012,"13:38",502145,3591769
"M255",2012,"14:56",502178,3591697
"M255",2012,"13:45",502381,3591866
"M255",2012,"9:28",502211,3591606
"M255",2012,"16:20",502461,3591746
"M255",2012,"11:31",502475,3591747
"M255",2012,"10:06",502222,3591464
