"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"M69","8/11/09",2009,"Monsoon","19:37:00",501150,3591799,1893,NA
"M69","8/17/09",2009,"Monsoon","20:30:00",501150,3591799,0,NA
"M69","8/28/09",2009,"Monsoon","23:58:00",501091,3592612,815,NA
"M69","8/30/09",2009,"Monsoon","10:23:00",501091,3592612,0,NA
"M69","9/1/09",2009,"Monsoon","22:31:00",501074,3592602,20,NA
"M69","9/9/09",2009,"Monsoon","20:45:00",501076,3592600,3,NA
"M69","9/15/09",2009,"Monsoon","20:43:00",501076,3592600,0,NA
"M69","9/23/09",2009,"Monsoon","9:45:00",501090,3592612,18,NA
"M69","9/24/09",2009,"Monsoon","18:30:00",501087,3592617,6,NA
"M69","9/30/09",2009,"Monsoon","9:51:00",501091,3592613,6,NA
"M69","10/6/09",2009,"Post_Monsoon","18:06:00",501095,3592611,4,NA
"M69","10/10/09",2009,"Post_Monsoon","16:15:00",501110,3592615,16,NA
"M69","10/18/09",2009,"Post_Monsoon","17:50:00",501095,3592611,16,NA
"M69","10/25/09",2009,"Post_Monsoon","13:14:00",501095,3592611,0,NA
"M69","10/31/09",2009,"Post_Monsoon","11:56:00",501095,3592611,0,NA
"M69","11/8/09",2009,"Post_Monsoon","15:27:00",501065,3592610,30,NA
"M69","11/14/09",2009,"Post_Monsoon","1221",501083,3592640,35,NA
"M69","11/29/09",2009,"Post_Monsoon","14:07:00",501065,3592610,35,NA
"M69","12/13/09",2009,"Winter","14:17:00",501082,3592636,31,NA
"M69","12/22/09",2009,"Winter","11:10:00",501082,3592636,0,NA
