"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"F36","5/2/07","0:00",500329,3592730,NA
"F36","5/3/07","0:00",500329,3592730,0
"F36","5/6/07","0:00",500305,3592917,189
"F36","5/8/07","0:00",500310,3592916,5
"F36","5/17/07","0:00",500180,3592545,393
"F36","5/23/07","0:00",500206,3592707,164
"F36","6/1/07","0:00",500289,3592658,96
"F36","6/21/07","0:00",500347,3592743,103
"F36","6/27/07","0:00",500347,3592743,0
"F36","7/3/07","0:00",500347,3592743,0
"F36","7/3/07","0:00",500363,3592645,99
"F36","7/5/07","0:00",500391,3592655,30
"F36","7/18/07","0:00",500391,3592655,0
"F36","7/19/07","0:00",500406,3592594,63
"F36","8/16/07","0:00",500276,3592529,145
"F36","8/22/07","0:00",500261,3592662,134
"F36","8/28/07","0:00",500260,3592518,144
"F36","8/29/07","0:00",500260,3592518,0
"F36","8/30/07","0:00",500271,3592559,42
"F36","4/9/08","14:39",500347,3592863,313
"F36","4/16/08","9:25",500214,3592657,245
"F36","4/23/08","16:23",500324,3592681,113
"F36","4/24/08","12:10",500324,3592681,0
"F36","4/25/08","11:01",500324,3592681,0
"F36","5/1/08","12:40",500341,3592740,61
"F36","5/2/08","12:15",500341,3592740,0
"F36","5/5/08","9:38",500341,3592740,0
"F36","5/6/08","9:13",500350,3592864,124
"F36","5/7/08","10:41",500350,3592864,0
"F36","5/8/08","10:59",500350,3592864,0
"F36","5/14/08","10:58",500214,3592657,248
"F36","5/20/08","12:23",500438,3592822,278
"F36","5/22/08","17:42",500435,3592825,4
"F36","5/25/08","18:53",500423,3592808,21
"F36","5/26/08","18:41",500396,3592767,49
"F36","5/28/08","18:07",500393,3592878,111
"F36","6/2/08","19:37",500314,3592889,80
"F36","6/3/08","19:31",500314,3592889,0
"F36","6/11/08","19:27",500314,3592889,0
"F36","6/18/08","21:01",500307,3592735,154
"F36","6/21/08","21:32",500307,3592735,0
"F36","6/22/08","22:03",500288,3592656,81
"F36","6/24/08","20:28",500286,3592662,6
"F36","6/26/08","23:17",500293,3592792,130
"F36","6/27/08","9:16",500297,3592856,64
"F36","7/1/08","19:45",500383,3592654,220
"F36","7/8/08","8:07",500395,3592657,12
"F36","7/13/08","7:48",500395,3592654,3
"F36","7/16/08","21:40",500251,3592684,147
"F36","7/18/08","8:40",500392,3592656,144
"F36","7/20/08","7:10",500284,3592662,108
"F36","7/21/08","22:28",500275,3592644,20
"F36","7/26/08","8:07",500409,3592638,134
"F36","7/27/08","8:46",500444,3592507,136
"F36","7/28/08","23:18",500247,3592522,198
"F36","7/30/08","23:46",500537,3592557,292
"F36","7/31/08","9:56",500469,3592562,68
"F36","7/31/08","22:06",500395,3592427,154
"F36","8/3/08","7:59",500384,3592661,234
"F36","8/12/08","21:36",500252,3592503,206
"F36","8/25/08","19:18",500232,3592583,82
"F36","9/3/08","9:44",500359,3592556,130
"F36","9/6/08","22:13",500383,3592559,24
"F36","9/11/08","11:41",500304,3592460,127
"F36","9/17/08","18:41",500291,3592715,255
"F36","9/25/08","8:44",500238,3592607,120
"F36","9/26/08","21:29",500237,3592597,10
"F36","9/27/08","20:01",500237,3592597,0
"F36","10/5/08","11:12",500237,3592597,0
"F36","10/10/08","9:22",500289,3592717,131
"F36","10/17/08","14:36",500342,3592878,169
"F36","10/23/08","17:18",500375,3592898,39
"F36","11/7/08","14:55",500375,3592881,17
"F36","4/9/09","0:00",500395,3592566,316
"F36","4/10/09","0:00",500395,3592566,0
"F36","4/11/09","0:00",500395,3592566,0
"F36","4/13/09","0:00",500395,3592566,0
"F36","4/16/09","0:00",500395,3592566,0
"F36","4/18/09","0:00",500377,3592580,23
"F36","4/23/09","0:00",500280,3592526,111
"F36","4/30/09","0:00",500308,3592676,153
"F36","5/11/09","0:00",500308,3592676,0
"F36","5/12/09","0:00",500308,3592676,0
"F36","5/13/09","0:00",500308,3592676,0
"F36","5/14/09","0:00",500364,3592509,176
"F36","5/19/09","0:00",500380,3592659,151
"F36","5/25/09","0:00",500429,3592457,208
"F36","6/4/09","0:00",500425,3592494,37
"F36","6/8/09","0:00",500425,3592494,0
"F36","6/9/09","0:00",500425,3592494,0
"F36","6/10/09","0:00",500425,3592494,0
"F36","6/26/09","0:00",500428,3592499,6
"F36","7/1/09","21:31",500392,3592660,165
"F36","7/6/09","0:00",500391,3592658,2
"F36","7/6/09","22:59",500392,3592660,2
"F36","7/9/09","0:00",500391,3592658,2
"F36","7/10/09","0:00",500391,3592658,0
"F36","7/11/09","0:00",500391,3592658,0
"F36","7/12/09","0:00",500391,3592658,0
"F36","7/13/09","0:00",500391,3592658,0
"F36","7/14/09","0:00",500391,3592658,0
"F36","7/17/09","0:00",500391,3592658,0
"F36","7/19/09","0:00",500391,3592658,0
"F36","7/22/09","22:32",500393,3592661,4
"F36","8/2/09","0:00",500391,3592658,4
"F36","8/2/09","0:00",500289,3592636,104
"F36","8/10/09","21:25",500292,3592547,89
"F36","8/11/09","0:00",500289,3592636,89
"F36","8/13/09","22:31",500392,3592655,105
"F36","8/17/09","21:10",500392,3592655,0
"F36","8/25/09","21:29",500468,3592593,98
"F36","8/26/09","23:58",500468,3592593,0
"F36","8/27/09","22:51",500411,3592543,76
"F36","8/28/09","2:10",500394,3592542,17
"F36","8/29/09","0:18",500394,3592542,0
"F36","9/1/09","2:57",500511,3592670,173
"F36","9/1/09","0:40",500516,3592678,9
"F36","9/3/09","0:00",500531,3592595,84
"F36","9/4/09","0:00",500531,3592595,0
"F36","9/5/09","0:00",500531,3592595,0
"F36","9/6/09","0:00",500531,3592595,0
"F36","9/7/09","0:00",500463,3592590,68
"F36","9/8/09","20:27",500463,3592592,2
"F36","9/9/09","8:27",500463,3592592,0
"F36","9/11/09","0:00",500465,3592589,4
"F36","9/14/09","20:30",500463,3592592,4
"F36","9/20/09","0:00",500465,3592589,4
"F36","9/23/09","19:53",500463,3592592,4
"F36","9/24/09","8:49",500463,3592592,0
"F36","9/29/09","18:54",500581,3592612,120
"F36","9/30/09","21:00",500581,3592612,0
"F36","10/6/09","13:32",500574,3592615,8
"F36","10/11/09","12:46",500578,3592620,6
"F36","10/18/09","15:57",500401,3592792,247
"F36","10/25/09","10:54",500401,3592792,0
"F36","10/31/09","15:17",500374,3592901,112
"F36","11/8/09","12:17",500375,3592909,8
"F36","11/14/09","0:00",500374,3592913,4
"F36","11/22/09","14:37",500375,3592909,4
"F36","12/13/09","11:50",500375,3592909,0
"F36","3/25/10","11:47",500419,3592890,48
"F36","4/9/10","15:22",500419,3592890,0
"F36","4/24/10","12:10",500383,3592561,331
"F36","4/29/10","16:00",500402,3592570,21
"F36","5/6/10","16:49",500402,3592570,0
"F36","5/14/10","16:17",500116,3592466,304
"F36","6/2/10","10:59",500974,3592322,NA
"F36","6/2/10","16:36",500304,3592672,756
"F36","6/4/10","15:31",500377,3592579,118
"F36","6/12/10","9:44",500155,3592558,223
"F36","6/18/10","7:30",500156,3592562,4
"F36","6/21/10","22:10",500184,3592535,39
"F36","6/23/10","22:52",500154,3592551,34
"F36","6/23/10","1:16",500157,3592560,9
"F36","6/24/10","22:19",500157,3592560,0
"F36","6/25/10","19:33",500157,3592560,0
"F36","6/28/10","20:12",500156,3592565,5
"F36","7/3/10","22:17",500539,3592757,428
"F36","7/4/10","20:08",500518,3592750,22
"F36","7/6/10","23:25",500420,3592842,134
"F36","7/8/10","0:47",500428,3592834,11
"F36","7/12/10","22:40",500392,3592583,254
"F36","7/18/10","19:30",500538,3592610,148
"F36","7/22/10","23:28",500252,3592433,336
"F36","7/23/10","9:48",500254,3592429,4
"F36","7/28/10","21:23",500235,3592474,49
"F36","7/29/10","22:16",500224,3592492,21
"F36","7/30/10","9:07",500195,3592531,49
"F36","7/31/10","19:52",500166,3592542,31
"F36","8/1/10","20:43",500333,3592459,186
"F36","8/2/10","7:50",500318,3592424,38
"F36","8/2/10","19:35",500318,3592424,0
"F36","8/2/10","1:40",500316,3592429,5
"F36","8/7/10","19:30",500320,3592423,7
"F36","8/17/10","8:36",500397,3592493,104
"F36","8/27/10","0:02",500407,3592512,21
"F36","8/27/10","23:59",500283,3592503,124
"F36","8/31/10","22:42",500282,3592492,11
"F36","9/1/10","11:01",500282,3592492,0
"F36","9/1/10","23:15",500129,3592318,232
"F36","9/8/10","20:24",500141,3592358,42
"F36","9/15/10","8:34",500182,3592381,47
"F36","9/17/10","20:25",500182,3592381,0
"F36","9/24/10","9:25",500384,3592528,250
"F36","9/27/10","10:51",500318,3592427,121
"F36","10/2/10","17:56",500315,3592425,4
"F36","10/8/10","9:34",500315,3592425,0
"F36","10/19/10","16:08",500392,3592766,350
"F36","10/22/10","15:31",500392,3592766,0
"F36","11/1/10","14:05",501003,3592565,643
"F36","11/6/10","7:57",500376,3592910,716
"F36","1/2/11","14:04",500376,3592910,0
"F36","3/25/11","15:02",500387,3592566,344
"F36","4/12/11","12:05",500550,3592579,164
"F36","4/16/11","14:20",500395,3592569,155
"F36","4/30/11","10:12",500189,3592610,210
"F36","5/12/11","14:41",500101,3592489,150
"F36","5/16/11","14:52",500175,3592518,79
"F36","5/20/11","15:00",500177,3592526,8
"F36","5/27/11","10:57",500388,3592568,215
"F36","6/13/11","12:09",500390,3592584,16
"F36","8/11/11","15:52",500285,3592488,142
"F36","8/13/11","12:57",500294,3592466,24
"F36","8/15/11","16:27",500318,3592427,46
"F36","8/16/11","16:11",500322,3592426,4
"F36","8/20/11","16:36",500227,3592380,106
"F36","9/4/11","17:50",500336,3592478,147
"F36","9/13/11","14:12",500374,3592562,92
"F36","10/1/11","12:41",500404,3592589,40
"F36","10/7/11","16:47",500406,3592593,4
"F36","11/19/11","10:17",500415,3592893,300
"F36","11/27/11","13:21",500412,3592891,4
"F36","12/5/11","11:15",500412,3592891,0
"F36","12/27/11","10:00",500412,3592891,0
"F36","1/17/12","16:20",500408,3592886,6
"F36","1/24/12","13:30",500408,3592886,0
"F36","2/1/12","12:26",500408,3592886,0
"F36","2/17/12","13:09",500408,3592886,0
"F36","2/29/12","13:34",500413,3592885,5
"F36","3/10/12","11:34",500383,3592870,34
"F36","3/13/12","15:08",500385,3592870,2
"F36","3/22/12","13:20",500464,3592818,95
"F36","3/30/12","15:11",500359,3592578,262
"F36","4/4/12","13:01",500392,3592570,34
"F36","4/22/12","19:04",500269,3592397,212
"F36","5/6/12","10:19",500244,3592467,74
"F36","5/11/12","9:34",500367,3592544,145
"F36","5/23/12","20:35",500396,3592480,70
"F36","5/27/12","6:58",500396,3592480,0
"F36","5/29/12","8:03",500401,3592570,90
"F36","5/30/12","10:09",500401,3592570,0
"F36","6/6/12","9:43",500490,3592603,95
"F36","6/9/12","13:29",500488,3592604,2
"F36","6/14/12","11:24",500488,3592604,0
"F36","6/16/12","10:50",500488,3592604,0
"F36","6/22/12","12:06",500487,3592603,1
"F36","7/5/12","13:46",500395,3592463,168
"F36","7/10/12","10:01",500490,3592601,168
"F36","7/12/12","9:41",500487,3592603,4
"F36","7/16/12","12:03",500388,3592496,146
"F36","7/18/12","8:41",500475,3592712,233
"F36","7/20/12","20:38",500219,3592570,293
"F36","7/23/12","15:27",500287,3592430,156
"F36","7/25/12","11:27",500393,3592538,151
"F36","7/27/12","9:37",500269,3592402,184
"F36","7/30/12","20:13",500403,3592508,171
"F36","8/1/12","8:59",500246,3592556,164
"F36","8/3/12","9:49",500368,3592418,184
"F36","8/11/12","17:37",500203,3592602,247
"F36","8/15/12","8:33",500490,3592603,287
"F36","8/17/12","9:44",500488,3592600,4
"F36","8/27/12","13:05",500488,3592600,0
"F36","9/1/12","18:11",500266,3592399,299
"F36","9/7/12","15:01",500268,3592404,5
"F36","9/20/12","12:05",500268,3592546,142
"F36","9/29/12","20:57",500566,3592617,306
"F36","10/5/12","17:19",500576,3592633,19
"F36","10/17/12","15:11",500556,3592694,64
"F36","10/29/12","17:32",500406,3592869,230
"F36","11/3/12","10:16",500406,3592869,0
"F36","11/11/12","11:35",500406,3592869,0
"F36","11/26/12","17:16",500411,3592883,15
"F36","12/8/12","14:24",500413,3592886,4
"F36","12/17/12","11:58",500413,3592886,0
"F36","12/21/12","10:55",500411,3592885,2
"F36","12/28/12","11:59",500411,3592885,0
"F36","1/10/13","14:29",500416,3592885,5
"F36","1/25/13","12:15",500416,3592885,0
"F36","2/7/13","14:09",500413,3592884,3
"F36","2/21/13","13:57",500413,3592883,1
"F36","3/10/13","12:57",500410,3592885,4
"F36","3/21/13","13:15",500287,3592463,440
