"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"M112","6/10/07","0:00",499691,3592539,NA
"M112","6/12/07","0:00",499480,3592041,541
"M112","6/20/07","0:00",499714,3592842,834
"M112","6/27/07","0:00",499714,3592842,0
"M112","7/3/07","0:00",499552,3592728,198
"M112","7/5/07","0:00",499552,3592728,0
"M112","8/2/07","0:00",499528,3592735,25
"M112","8/2/07","0:00",499585,3592813,97
"M112","8/4/07","0:00",499469,3592719,149
"M112","8/16/07","0:00",499745,3592821,294
"M112","8/22/07","0:00",499674,3592708,133
"M112","8/27/07","0:00",499457,3592741,219
"M112","8/29/07","0:00",499465,3592743,8
"M112","9/5/09","3:48",499325,3592340,427
"M112","9/9/09","7:54",499547,3592443,245
"M112","9/14/09","18:53",499547,3592443,0
"M112","9/22/09","20:48",499547,3592443,0
"M112","9/23/09","18:58",499547,3592443,0
"M112","9/27/09","18:02",499547,3592443,0
"M112","9/29/09","20:15",499547,3592443,0
"M112","9/30/09","18:27",499547,3592443,0
"M112","10/5/09","17:47",499580,3592924,482
"M112","10/11/09","16:09",499592,3592960,38
"M112","10/18/09","16:52",499565,3593028,73
"M112","10/25/09","11:59",499534,3592990,49
"M112","10/31/09","14:21",499587,3592943,71
"M112","11/8/09","13:17",499587,3592943,0
"M112","11/22/09","16:09",499534,3592992,72
"M112","11/29/09","12:43",499534,3592992,0
"M112","12/13/09","13:24",499583,3592949,65
"M112","12/22/09","10:40",499583,3592949,0
"M112","3/25/10","13:42",499580,3592968,19
"M112","4/5/10","14:23",499586,3592935,34
"M112","4/24/10","14:43",499404,3592751,259
"M112","4/29/10","17:37",499499,3592364,398
"M112","5/6/10","14:57",499462,3592264,107
"M112","5/14/10","14:23",499492,3592367,107
"M112","6/1/10","18:01",499169,3592063,444
"M112","6/2/10","10:23",499169,3592063,0
"M112","6/7/10","15:34",499327,3592438,407
"M112","6/12/10","16:00",499327,3592427,11
"M112","6/17/10","9:31",499321,3592435,10
"M112","8/2/10","8:32",499659,3592320,357
"M112","8/2/10","0:17",499658,3592322,2
"M112","8/5/10","9:36",499329,3592419,343
"M112","8/5/10","22:01",499399,3592450,77
"M112","8/8/10","11:21",499496,3592359,133
"M112","8/9/10","20:40",499404,3592471,145
"M112","8/17/10","7:09",499594,3592475,190
"M112","8/23/10","23:20",499461,3592381,163
"M112","8/23/10","0:01",499462,3592373,8
"M112","8/24/10","8:41",499459,3592380,8
"M112","9/8/10","19:55",499467,3592406,27
"M112","9/9/10","8:01",499467,3592406,0
"M112","9/15/10","7:33",499467,3592406,0
"M112","9/16/10","21:37",499467,3592406,0
"M112","9/17/10","21:32",499467,3592406,0
