"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F36",2007,"0:00",500329,3592730
"F36",2007,"0:00",500329,3592730
"F36",2007,"0:00",500305,3592917
"F36",2007,"0:00",500310,3592916
"F36",2007,"0:00",500180,3592545
"F36",2007,"0:00",500206,3592707
"F36",2007,"0:00",500289,3592658
"F36",2007,"0:00",500289,3592658
"F36",2007,"0:00",500347,3592743
"F36",2007,"0:00",500347,3592743
"F36",2007,"0:00",500347,3592743
"F36",2007,"0:00",500363,3592645
"F36",2007,"0:00",500391,3592655
"F36",2007,"0:00",500391,3592655
"F36",2007,"0:00",500406,3592594
"F36",2007,"0:00",500276,3592529
"F36",2007,"0:00",500261,3592662
"F36",2007,"0:00",500260,3592518
"F36",2007,"0:00",500260,3592518
"F36",2007,"0:00",500271,3592559
"F36",2008,"14:39",500347,3592863
"F36",2008,"9:25",500214,3592657
"F36",2008,"16:23",500324,3592681
"F36",2008,"12:10",500324,3592681
"F36",2008,"11:01",500324,3592681
"F36",2008,"12:40",500341,3592740
"F36",2008,"12:15",500341,3592740
"F36",2008,"9:38",500341,3592740
"F36",2008,"9:13",500350,3592864
"F36",2008,"10:41",500350,3592864
"F36",2008,"10:59",500350,3592864
"F36",2008,"10:58",500214,3592657
"F36",2008,"12:23",500438,3592822
"F36",2008,"17:42",500435,3592825
"F36",2008,"18:53",500423,3592808
"F36",2008,"18:41",500396,3592767
"F36",2008,"18:07",500393,3592878
"F36",2008,"19:37",500314,3592889
"F36",2008,"19:31",500314,3592889
"F36",2008,"19:27",500314,3592889
"F36",2008,"21:01",500307,3592735
"F36",2008,"21:32",500307,3592735
"F36",2008,"22:03",500288,3592656
"F36",2008,"20:28",500286,3592662
"F36",2008,"23:17",500293,3592792
"F36",2008,"9:16",500297,3592856
"F36",2008,"19:45",500383,3592654
"F36",2008,"8:07",500395,3592657
"F36",2008,"7:48",500395,3592654
"F36",2008,"21:40",500251,3592684
"F36",2008,"8:40",500392,3592656
"F36",2008,"7:10",500284,3592662
"F36",2008,"22:28",500275,3592644
"F36",2008,"8:07",500409,3592638
"F36",2008,"8:46",500444,3592507
"F36",2008,"23:18",500247,3592522
"F36",2008,"23:46",500537,3592557
"F36",2008,"9:56",500469,3592562
"F36",2008,"22:06",500395,3592427
"F36",2008,"7:59",500384,3592661
"F36",2008,"21:36",500252,3592503
"F36",2008,"19:18",500232,3592583
"F36",2008,"9:44",500359,3592556
"F36",2008,"22:13",500383,3592559
"F36",2008,"11:41",500304,3592460
"F36",2008,"18:41",500291,3592715
"F36",2008,"8:44",500238,3592607
"F36",2008,"21:29",500237,3592597
"F36",2008,"20:01",500237,3592597
"F36",2008,"11:12",500237,3592597
"F36",2008,"9:22",500289,3592717
