"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"M69",2009,"19:37",501150,3591799
"M69",2009,"20:30",501150,3591799
"M69",2009,"23:58",501091,3592612
"M69",2009,"10:23",501091,3592612
"M69",2009,"22:31",501074,3592602
"M69",2009,"20:45",501076,3592600
"M69",2009,"20:43",501076,3592600
"M69",2009,"9:45",501090,3592612
"M69",2009,"18:30",501087,3592617
"M69",2009,"9:51",501091,3592613
"M69",2009,"18:06",501095,3592611
"M69",2009,"16:15",501110,3592615
"M69",2009,"17:50",501095,3592611
"M69",2009,"13:14",501095,3592611
"M69",2009,"11:56",501095,3592611
"M69",2009,"15:27",501065,3592610
"M69",2009,"0:00",501083,3592640
"M69",2009,"14:07",501065,3592610
"M69",2009,"14:17",501082,3592636
"M69",2009,"11:10",501082,3592636
"M69",2010,"17:22",501207,3592418
"M69",2010,"15:41",501141,3592501
"M69",2010,"12:50",501334,3592152
"M69",2010,"11:20",501319,3592321
"M69",2010,"12:12",501336,3592206
"M69",2010,"17:47",501102,3592259
"M69",2010,"8:15",501037,3592339
"M69",2010,"8:04",501040,3592340
"M69",2010,"8:45",501039,3592342
"M69",2010,"20:15",501146,3592361
"M69",2010,"21:03",501126,3592384
"M69",2010,"21:08",501207,3592295
"M69",2010,"20:29",501311,3592181
"M69",2010,"19:13",501310,3592176
"M69",2010,"23:23",501232,3592188
"M69",2010,"10:30",501313,3592179
"M69",2010,"2:00",501311,3592162
"M69",2010,"19:27",501311,3592162
"M69",2010,"21:34",501315,3592183
"M69",2010,"7:04",501154,3591952
"M69",2010,"21:06",501315,3592158
"M69",2010,"0:18",501218,3592136
"M69",2010,"9:00",501082,3592155
"M69",2010,"21:40",501033,3592000
"M69",2010,"23:36",501036,3592015
"M69",2010,"22:24",500999,3591800
"M69",2010,"9:41",501036,3592015
"M69",2010,"21:15",501211,3591983
"M69",2010,"1:15",501213,3591984
"M69",2010,"19:15",501212,3591986
