LIZARDNUMBER,SEX,YEAR,SEASON,COVERTYPE,N_TOTAL,N_TOTAL_YR,N_TYPE_SEA,N_TYPE_ALLYRS,PROPORTION_YR_LIZ,AVG_PROP_YR_LIZ,SEAS_PROP_LIZ
F104,Female,2007,Dry,Midden,90,18,13,31,0.72,0.25,0.34
F104,Female,2007,Monsoon,Midden,90,18,5,15,0.28,0.2,0.17
F104,Female,2008,Dry,Burrow,90,50,21,21,0.42,0.42,0.23
F104,Female,2008,Monsoon,Burrow,90,50,7,15,0.14,0.25,0.17
F104,Female,2008,Post-Monsoon,Burrow,90,50,3,9,0.06,0.17,0.1
F104,Female,2008,Dry,Midden,90,50,2,NA,0.04,NA,NA
F104,Female,2008,Monsoon,Midden,90,50,5,NA,0.1,NA,NA
F104,Female,2008,Dry,Rocks,90,50,5,5,0.1,0.1,0.06
F104,Female,2008,Monsoon,Rocks,90,50,5,7,0.1,0.1,0.08
F104,Female,2008,Post-Monsoon,Rocks,90,50,2,2,0.04,0.04,0.02
F104,Female,2009,Monsoon,Burrow,90,22,8,NA,0.36,NA,NA
F104,Female,2009,Post-Monsoon,Burrow,90,22,6,NA,0.27,NA,NA
F104,Female,2009,Monsoon,Midden,90,22,5,NA,0.23,NA,NA
F104,Female,2009,Post-Monsoon,Midden,90,22,1,1,0.05,0.05,0.01
F104,Female,2009,Monsoon,Rocks,90,22,2,NA,0.09,NA,NA
F114,Female,2007,Dry,Midden,146,6,4,10,0.67,0.18,0.07
F114,Female,2007,Monsoon,Midden,146,6,1,11,0.17,0.11,0.08
F114,Female,2007,Monsoon,Rocks,146,6,1,19,0.17,0.14,0.13
F114,Female,2008,Dry,Burrow,146,45,19,32,0.42,0.22,0.22
F114,Female,2008,Monsoon,Burrow,146,45,10,23,0.22,0.15,0.16
F114,Female,2008,Post-Monsoon,Burrow,146,45,5,15,0.11,0.16,0.1
F114,Female,2008,Dry,Midden,146,45,2,NA,0.04,NA,NA
F114,Female,2008,Dry,Rocks,146,45,8,20,0.18,0.15,0.14
F114,Female,2008,Monsoon,Rocks,146,45,3,NA,0.07,NA,NA
F114,Female,2009,Monsoon,Burrow,146,13,2,NA,0.15,NA,NA
F114,Female,2009,Post-Monsoon,Burrow,146,13,6,NA,0.46,NA,NA
F114,Female,2009,Monsoon,Midden,146,13,1,NA,0.08,NA,NA
F114,Female,2009,Post-Monsoon,Midden,146,13,3,6,0.23,0.11,0.04
F114,Female,2009,Monsoon,Rocks,146,13,1,NA,0.08,NA,NA
F114,Female,2010,Dry,Burrow,146,40,7,NA,0.18,NA,NA
F114,Female,2010,Monsoon,Burrow,146,40,7,NA,0.18,NA,NA
F114,Female,2010,Post-Monsoon,Burrow,146,40,2,NA,0.05,NA,NA
F114,Female,2010,Dry,Midden,146,40,1,NA,0.03,NA,NA
F114,Female,2010,Monsoon,Midden,146,40,5,NA,0.13,NA,NA
F114,Female,2010,Post-Monsoon,Midden,146,40,2,NA,0.05,NA,NA
F114,Female,2010,Dry,Rocks,146,40,7,NA,0.18,NA,NA
F114,Female,2010,Emergence,Rocks,146,40,1,3,0.03,0.51,0.02
F114,Female,2010,Monsoon,Rocks,146,40,8,NA,0.2,NA,NA
F114,Female,2010,Post-Monsoon,Rocks,146,40,1,3,0.03,0.07,0.02
F114,Female,2011,Emergence,Burrow,146,19,1,5,0.05,0.12,0.03
F114,Female,2011,Dry,Burrow,146,19,3,NA,0.16,NA,NA
F114,Female,2011,Monsoon,Burrow,146,19,1,NA,0.05,NA,NA
F114,Female,2011,Post-Monsoon,Burrow,146,19,2,NA,0.11,NA,NA
F114,Female,2011,Dry,Midden,146,19,1,NA,0.05,NA,NA
F114,Female,2011,Monsoon,Midden,146,19,1,NA,0.05,NA,NA
F114,Female,2011,Dry,Rocks,146,19,4,NA,0.21,NA,NA
F114,Female,2011,Monsoon,Rocks,146,19,4,NA,0.21,NA,NA
F114,Female,2011,Post-Monsoon,Rocks,146,19,2,NA,0.11,NA,NA
F114,Female,2012,Emergence,Burrow,146,21,4,NA,0.19,NA,NA
F114,Female,2012,Dry,Burrow,146,21,3,NA,0.14,NA,NA
F114,Female,2012,Monsoon,Burrow,146,21,3,NA,0.14,NA,NA
F114,Female,2012,Post-Monsoon,Burrow,146,21,2,NA,0.1,NA,NA
F114,Female,2012,Dry,Midden,146,21,2,NA,0.1,NA,NA
F114,Female,2012,Monsoon,Midden,146,21,3,NA,0.14,NA,NA
F114,Female,2012,Post-Monsoon,Midden,146,21,1,NA,0.05,NA,NA
F114,Female,2012,Dry,Rocks,146,21,1,NA,0.05,NA,NA
F114,Female,2012,Monsoon,Rocks,146,21,2,NA,0.1,NA,NA
F114,Female,2013,Emergence,Rocks,146,2,2,NA,1,NA,NA
F135,Female,2008,Monsoon,Burrow,36,8,5,19,0.63,0.56,0.53
F135,Female,2008,Monsoon,Midden,36,8,2,5,0.25,0.18,0.14
F135,Female,2008,Monsoon,Rocks,36,8,2,7,0.25,0.21,0.19
F135,Female,2008,Post-Monsoon,Burrow,36,8,3,3,0.38,0.38,0.08
F135,Female,2008,Post-Monsoon,Rocks,36,8,2,2,0.25,0.25,0.06
F135,Female,2009,Monsoon,Burrow,36,28,14,NA,0.5,NA,NA
F135,Female,2009,Monsoon,Midden,36,28,3,NA,0.11,NA,NA
F135,Female,2009,Monsoon,Rocks,36,28,5,NA,0.18,NA,NA
F137,Female,2008,Monsoon,Burrow,108,13,4,14,0.31,0.17,0.13
F137,Female,2008,Post-Monsoon,Burrow,108,13,2,8,0.15,0.11,0.07
F137,Female,2008,Monsoon,Rocks,108,13,5,38,0.38,0.31,0.35
F137,Female,2008,Post-Monsoon,Rocks,108,13,2,12,0.15,0.12,0.11
F137,Female,2009,Monsoon,Burrow,108,18,3,NA,0.17,NA,NA
F137,Female,2009,Post-Monsoon,Burrow,108,18,4,NA,0.22,NA,NA
