Season,Gila,Sex,Environment,Home_Range_100mcp,N
Dry,M69,male,subsidized,36.73,24
Dry,M67,male,subsidized,5.71,9
Dry,M255,male,subsidized,NA,4
Dry,M215,male,subsidized,8.28,11
Dry,M14,male,subsidized,6.2,15
Dry,M119,male,subsidized,27.84,17
Dry,M112,male,subsidized,24.93,16
Dry,F66,female,subsidized,9.6,97
Dry,F36,female,subsidized,24.99,99
Dry,F252,female,subsidized,2.54,14
Dry,F214,female,subsidized,5.04,10
Dry,F200,female,subsidized,4.71,8
Dry,F147,female,subsidized,25.52,57
Dry,F146,female,subsidized,9.55,22
Dry,F137,female,subsidized,6.54,43
Dry,F135,female,subsidized,3.71,25
Dry,F114,female,subsidized,13.66,99
Dry,F104,female,subsidized,6.07,70
Dry,2,male,nonsubsidized,43.5,NA
Dry,3,male,nonsubsidized,35.2,23
Dry,4,male,nonsubsidized,42.1,NA
Dry,8,male,nonsubsidized,6.3,40
Dry,10,male,nonsubsidized,25.6,40
Dry,11,male,nonsubsidized,28.3,40
Dry,12,male,nonsubsidized,25.3,40
Dry,1,female,nonsubsidized,NA,NA
Dry,13,female,nonsubsidized,20.6,43
Dry,15,female,nonsubsidized,12.5,36
Dry,17,female,nonsubsidized,28.1,39
Dry,50,female,nonsubsidized,10.5,40
Dry,51,female,nonsubsidized,6.6,14
Emergence,M69,male,subsidized,0.33,4
Emergence,M255,male,subsidized,3.23,7
Emergence,M215,male,subsidized,2.64,7
Emergence,M14,male,subsidized,NA,4
Emergence,M119,male,subsidized,NA,3
Emergence,M112,male,subsidized,NA,2
Emergence,F66,female,subsidized,0.33,5
Emergence,F36,female,subsidized,2.94,12
Emergence,F252,female,subsidized,1.27,8
Emergence,F200,female,subsidized,NA,1
Emergence,F147,female,subsidized,5.44,14
Emergence,F146,female,subsidized,NA,3
Emergence,F137,female,subsidized,1.71,6
Emergence,F114,female,subsidized,0.99,12
Emergence,F104,female,subsidized,NA,1
Emergence,2,male,nonsubsidized,0.4,12
Emergence,3,male,nonsubsidized,0.4,17
Emergence,4,male,nonsubsidized,NA,NA
Emergence,8,male,nonsubsidized,NA,NA
Emergence,10,male,nonsubsidized,4.4,23
Emergence,11,male,nonsubsidized,0.6,25
Emergence,12,male,nonsubsidized,0,17
Emergence,1,female,nonsubsidized,NA,NA
Emergence,13,female,nonsubsidized,1.9,25
Emergence,15,female,nonsubsidized,0.5,22
Emergence,17,female,nonsubsidized,5.5,23
Emergence,50,female,nonsubsidized,5.1,20
Emergence,51,female,nonsubsidized,9.3,23
Monsoon,M69,male,subsidized,14.84,22
Monsoon,M67,male,subsidized,7.72,7
Monsoon,M255,male,subsidized,1.07,9
Monsoon,M215,male,subsidized,7.22,12
Monsoon,M14,male,subsidized,7.5,10
Monsoon,M119,male,subsidized,19.98,67
Monsoon,M112,male,subsidized,14.14,29
Monsoon,F66,female,subsidized,33.65,79
Monsoon,F36,female,subsidized,10.3,118
Monsoon,F252,female,subsidized,6.48,30
Monsoon,F214,female,subsidized,7.79,28
Monsoon,F200,female,subsidized,4.23,40
Monsoon,F147,female,subsidized,18.21,70
Monsoon,F146,female,subsidized,5.97,17
Monsoon,F137,female,subsidized,6.95,62
Monsoon,F135,female,subsidized,5.72,48
Monsoon,F114,female,subsidized,10.72,84
Monsoon,F104,female,subsidized,7.59,49
Monsoon,2,male,nonsubsidized,13.4,45
Monsoon,3,male,nonsubsidized,34.3,34
Monsoon,4,male,nonsubsidized,39.9,NA
Monsoon,8,male,nonsubsidized,17.7,33
Monsoon,10,male,nonsubsidized,25.1,30
Monsoon,11,male,nonsubsidized,15.5,26
Monsoon,12,male,nonsubsidized,23.7,26
Monsoon,1,female,nonsubsidized,22.8,36
Monsoon,13,female,nonsubsidized,19.4,33
Monsoon,15,female,nonsubsidized,34.8,33
Monsoon,17,female,nonsubsidized,34.6,31
Monsoon,50,female,nonsubsidized,12.5,21
Monsoon,51,female,nonsubsidized,13.8,23
Post_Monsoon,M69,male,subsidized,0.07,8
Post_Monsoon,M255,male,subsidized,NA,4
Post_Monsoon,M215,male,subsidized,NA,4
Post_Monsoon,M14,male,subsidized,NA,4
Post_Monsoon,M119,male,subsidized,1.55,9
Post_Monsoon,M112,male,subsidized,0.28,8
Post_Monsoon,F66,female,subsidized,1.36,16
Post_Monsoon,F36,female,subsidized,19.14,27
Post_Monsoon,F252,female,subsidized,0.39,9
Post_Monsoon,F214,female,subsidized,1.87,9
Post_Monsoon,F200,female,subsidized,2.05,12
Post_Monsoon,F147,female,subsidized,7.14,18
Post_Monsoon,F146,female,subsidized,0.03,7
Post_Monsoon,F137,female,subsidized,2.19,17
Post_Monsoon,F135,female,subsidized,0.68,5
Post_Monsoon,F114,female,subsidized,4.56,24
Post_Monsoon,F104,female,subsidized,0.53,13
Post_Monsoon,2,male,nonsubsidized,0.5,7
Post_Monsoon,3,male,nonsubsidized,0.3,6
Post_Monsoon,4,male,nonsubsidized,1,NA
Post_Monsoon,8,male,nonsubsidized,0,6
Post_Monsoon,10,male,nonsubsidized,0.2,8
Post_Monsoon,11,male,nonsubsidized,0,8
Post_Monsoon,12,male,nonsubsidized,0,5
Post_Monsoon,1,female,nonsubsidized,0.6,6
Post_Monsoon,13,female,nonsubsidized,1.2,11
Post_Monsoon,15,female,nonsubsidized,0.3,9
Post_Monsoon,17,female,nonsubsidized,3.5,8
Post_Monsoon,50,female,nonsubsidized,NA,NA
Post_Monsoon,51,female,nonsubsidized,NA,NA
